ID,color
EP19820304770,black
EP19830305507,black
EP19810305844,black
EP19830305363,black
EP19830305329,black
EP19800302388,black
EP19780300224,black
EP19830305278,black
EP19840300285,black
EP19820306664,black
EP19830305076,black
EP19830300209,black
EP19830305001,black
EP19830304529,black
EP19830304525,black
EP19830305177,black
EP19830305481,black
EP19830305354,black
EP19830304492,black
EP19810303373,red
EP19830201277,black
EP19810200149,black
EP19830106267,black
EP19830303348,black
EP19820300656,black
EP19830305564,black
EP19820305919,black
EP19830305584,black
EP19780300125,black
EP19830304850,black
EP19830304630,black
EP19790301759,black
EP19830109769,black
EP19810107367,red
EP19830901091,black
EP19800300046,black
EP19830306640,black
EP19820302327,black
EP19830306583,black
EP19800303570,black
EP19830306712,black
EP19810303081,black
EP19850115875,black
EP19830308017,black
EP19780300442,black
EP19830307446,black
EP19820302395,black
EP19830307257,black
EP19830307500,black
EP19790100091,black
EP19830307821,black
EP19800300519,black
EP19850305637,black
EP19830304567,black
EP19830307417,black
EP19820303070,black
EP19830307211,black
EP19830307890,black
EP19810305630,black
EP19830307494,black
EP19830307334,black
EP19830302723,black
EP19810302081,black
EP19830302400,black
EP19820300091,black
EP19830307844,black
EP19800101239,black
EP19830305565,black
EP19830303971,black
EP19830303794,black
EP19830304564,black
EP19810304025,black
EP19830306238,black
EP19830303854,black
EP19830300432,black
EP19860109690,black
EP19830301868,black
EP19830307681,black
EP19830304031,black
EP19810300252,black
EP19830201793,black
EP19830201792,black
EP19830307268,black
EP19830307416,black
EP19830307175,black
EP19830307022,black
EP19830300051,black
EP19830306993,black
EP19810301884,black
EP19830306992,black
EP19830306928,black
EP19800303132,black
EP19830306829,black
EP19790302075,black
EP19830306569,black
EP19820301029,black
EP19810304836,black
EP19830306440,black
EP19830306310,black
EP19830302141,black
EP19830306061,black
EP19830307717,black
EP19830307600,black
EP19780300713,black
EP19830307515,black
EP19820301343,black
EP19830307292,black
EP19830307176,black
EP19830307534,black
EP19790300460,black
EP19830307858,black
EP19800301767,black
EP19830307721,black
EP19830307360,black
EP19810301031,black
EP19830307282,black
EP19800302068,black
EP19830306778,black
EP19830307104,black
EP19820305198,red
EP19830306947,black
EP19810302886,black
EP19830306568,black
EP19810304482,black
EP19830201742,black
EP19820201593,black
EP19830306948,black
EP19830306949,black
EP19830307087,black
EP19830306963,black
EP19830306427,black
EP19830306062,black
EP19810306103,black
EP19830307592,black
EP19810304171,black
EP19830307506,black
EP19830300452,black
EP19830307200,black
EP19790301873,black
EP19830301768,black
EP19810304235,black
EP19830301767,black
EP19830301766,black
EP19830301765,black
EP19830301764,black
EP19830301763,black
EP19830301762,black
EP19830301633,black
EP19820303693,black
EP19830301475,black
EP19810305861,black
EP19830301894,black
EP19830301876,black
EP19830301651,red
EP19830301647,black
EP19800301981,black
EP19830301517,black
EP19800302585,black
EP19830301518,black
EP19830301516,black
EP19810303247,red
EP19830301465,black
EP19810303896,black
EP19830301363,black
EP19830301159,black
EP19830300918,black
EP19790302671,black
EP19820301104,black
EP19830301479,black
EP19810303584,black
EP19830301463,black
EP19830301074,black
EP19820301061,black
EP19830300688,black
EP19800303250,black
EP19820302308,black
EP19830302319,black
EP19830301158,black
EP19830301286,black
EP19830302451,red
EP19830302450,black
EP19830302407,black
EP19790300240,black
EP19830302385,black
EP19800301525,black
EP19830302377,black
EP19800304417,black
EP19830302349,black
EP19830302260,black
EP19830302189,black
EP19830302148,black
EP19810300246,black
EP19830301801,black
EP19780300317,black
EP19830302221,black
EP19820301580,black
EP19830301991,black
EP19800303907,black
EP19810304756,black
EP19800303279,black
EP19830301649,black
EP19810303760,black
EP19830301607,black
EP19820302971,black
EP19830302161,black
EP19830302240,black
EP19830302103,black
EP19820305336,black
EP19830301776,black
EP19830300552,black
EP19800302370,black
EP19830200550,black
EP19830201308,black
EP19830301161,black
EP19830300235,black
EP19800301479,red
EP19830300494,black
EP19830300418,black
EP19830300037,black
EP19830300036,black
EP19830200036,black
EP19820201410,black
EP19830201272,black
EP19830300711,black
EP19820304100,black
EP19830300547,black
EP19810303697,black
EP19830300495,black
EP19830300419,black
EP19810301411,black
EP19830300255,black
EP19820300443,black
EP19830300122,black
EP19800300236,black
EP19830300083,black
EP19790302553,black
EP19790300930,black
EP19800303378,black
EP19830810016,black
EP19830300473,black
EP19810303440,black
EP19830101069,black
EP19780100463,red
EP19830100840,black
EP19800303617,black
EP19830300267,black
EP19810301051,black
EP19830300035,black
EP19830300306,black
EP19830301071,black
EP19830300465,black
EP19800300091,black
EP19830300129,black
EP19800304055,black
EP19830810013,black
EP19820300710,black
EP19830301129,black
EP19830301160,black
EP19830300034,black
EP19830300917,black
EP19830300814,black
EP19820301795,black
EP19830200203,black
EP19800201094,black
EP19830301022,black
EP19830300822,black
EP19830300540,black
EP19830300828,black
EP19820300128,black
EP19830300987,black
EP19800304066,black
EP19830200269,black
EP19790200397,black
EP19830200219,black
EP19810201337,black
EP19830200145,black
EP19790200313,black
EP19830300891,black
EP19830303801,black
EP19830304005,black
EP19810301254,black
EP19830303823,black
EP19830303655,black
EP19830303623,black
EP19830303675,black
EP19830303237,black
EP19830303553,black
EP19830106589,black
EP19820105989,black
EP19830303288,black
EP19820306743,black
EP19830301570,black
EP19800304192,black
EP19830105529,black
EP19830303560,black
EP19800300900,black
EP19830303543,black
EP19830302862,black
EP19810305461,black
EP19830200986,black
EP19830201333,black
EP19830200960,black
EP19810201294,black
EP19830106439,black
EP19780100492,black
EP19830303643,black
EP19820304325,black
EP19830303552,black
EP19810301641,black
EP19830301939,black
EP19800304745,black
EP19830200900,black
EP19820201404,black
EP19830302795,black
EP19830304168,black
EP19830304140,black
EP19830304043,black
EP19790302370,black
EP19830303710,black
EP19830302453,black
EP19800303364,black
EP19830304156,black
EP19830304504,black
EP19810305601,black
EP19830304501,black
EP19830304329,black
EP19820300581,black
EP19830900726,black
EP19810302984,black
EP19830106713,black
EP19820100320,black
EP19830304155,black
EP19830303983,black
EP19830303998,black
EP19780300456,black
EP19830303779,black
EP19810302579,black
EP19830200711,black
EP19830105779,black
EP19810110412,black
EP19780300716,black
EP19830304241,black
EP19830304046,black
EP19800301743,black
EP19830303895,black
EP19810303326,black
EP19830303050,black
EP19830301653,black
EP19830302610,black
EP19830302788,black
EP19810300667,black
EP19830302900,black
EP19810305762,black
EP19830302144,black
EP19810301394,black
EP19830104668,black
EP19800105411,black
EP19830303058,black
EP19820301775,black
EP19830303149,black
EP19790302040,black
EP19820301776,black
EP19830303063,black
EP19780100690,black
EP19830302493,black
EP19830302181,black
EP19830300240,black
EP19830302523,black
EP19810300458,black
EP19830302603,black
EP19800304606,black
EP19810303762,black
EP19830302735,black
EP19830302923,black
EP19800300280,black
EP19830302740,black
EP19830302800,black
EP19790300592,black
EP19830303097,black
EP19830303099,black
EP19800200766,black
EP19830303143,black
EP19790300093,black
EP19830303213,black
EP19820301355,black
EP19830303244,black
EP19830302944,black
EP19820300586,black
EP19830106006,black
EP19780100395,red
EP19830302059,black
EP19830302190,black
EP19830302945,black
EP19830303221,black
EP19790303078,black
EP19830303267,black
EP19830303361,black
EP19830302484,black
EP19820302703,black
EP19830303040,black
EP19810300354,black
EP19830302910,black
EP19800301215,black
EP19830302806,black
EP19830302648,black
EP19820303042,black
EP19830302323,black
EP19810303615,black
EP19830200751,black
EP19800302104,black
EP19830302339,black
EP19830104768,black
EP19830302561,black
EP19820305892,black
EP19830302631,black
EP19820302413,black
EP19840303976,black
EP19840307583,black
EP19840302480,black
EP19840307582,black
EP19830307077,black
EP19840307198,black
EP19820304257,black
EP19840304274,black
EP19840307023,black
EP19840306742,black
EP19830304203,black
EP19840306497,black
EP19830302594,black
EP19840306016,black
EP19810302257,black
EP19840307337,black
EP19810300064,black
EP19840307207,black
EP19820306871,black
EP19840307195,black
EP19830302997,black
EP19840307139,black
EP19830302056,black
EP19840307278,black
EP19830306161,black
EP19840110112,black
EP19810302369,black
EP19840201582,black
EP19820304059,black
EP19840306766,black
EP19780300607,black
EP19780300608,black
EP19790300174,black
EP19840307096,black
EP19810303962,black
EP19840307097,black
EP19840201578,black
EP19840112829,black
EP19830104086,black
EP19840113089,black
EP19840201655,black
EP19840305703,black
EP19830300181,black
EP19840307025,black
EP19820304870,black
EP19840308023,black
EP19830110267,black
EP19840308082,black
EP19830300526,black
EP19840308083,black
EP19840308138,black
EP19810305051,black
EP19840810462,black
EP19820304860,black
EP19840307192,black
EP19840302376,black
EP19840307673,black
EP19840307749,black
EP19840307954,black
EP19820302414,black
EP19840308291,black
EP19810304946,red
EP19840308322,black
EP19810300062,black
EP19840308362,black
EP19820306243,red
EP19840308171,black
EP19840201548,black
EP19840308294,black
EP19800304140,black
EP19840308075,black
EP19830307564,black
EP19840307102,black
EP19820200930,black
EP19840305831,black
EP19830302175,black
EP19840307374,black
EP19840303411,black
EP19800303545,black
EP19840305682,black
EP19810303363,black
EP19840307288,black
EP19840300370,black
EP19840307773,black
EP19830200383,black
EP19830303796,black
EP19840307822,black
EP19840307659,black
EP19830302613,black
EP19840307660,black
EP19840307670,black
EP19830305696,black
